"","participant","Condition","number","correctkey","Congruent","key_response","correct","rt","exp_sess_trials.thisRepN","exp_sess_trials.thisTrialN","exp_sess_trials.thisN","exp_sess_trials.thisIndex","x","magnitude","hand","n_digits","ppid"
"1",9322,"Digit",1,"l","Incong","a",0,0.384365,4,2,66,3,2,"small","left",NA,1
"2",9322,"Numerosity",1,"a","Incong","l",0,0.41716,3,11,59,2,3,"small","right",NA,1
"3",9322,"Numerosity",1,"l","Incong","a",0,0.500345,1,14,30,2,4,"small","left",NA,1
"4",9322,"Numerosity",1,"a","Incong","l",0,0.53369,2,9,41,2,5,"small","right",NA,1
"5",9322,"Numerosity",1,"a","Incong","l",0,0.800715,2,10,42,3,6,"small","right",NA,1
"6",9322,"Numerosity",1,"a","Cong","a",1,0.367,0,6,6,1,13,"small","left",NA,1
"7",9322,"Numerosity",1,"l","Cong","l",1,0.41154,2,4,36,0,14,"small","right",NA,1
"8",9322,"Digit",1,"a","Cong","a",1,0.43304,1,12,28,0,15,"small","left",NA,1
"9",9322,"Numerosity",1,"l","Cong","l",1,0.433755,1,3,19,1,16,"small","right",NA,1
"10",9322,"Digit",1,"a","Cong","a",1,0.45706,0,10,10,0,17,"small","left",NA,1
"11",9322,"Digit",1,"a","Cong","a",1,0.4643,2,10,42,1,18,"small","left",NA,1
"12",9322,"Digit",1,"a","Cong","a",1,0.47436,0,3,3,1,19,"small","left",NA,1
"13",9322,"Digit",1,"l","Cong","l",1,0.483465,3,4,52,1,20,"small","right",NA,1
"14",9322,"Numerosity",1,"l","Cong","l",1,0.490955,2,5,37,1,21,"small","right",NA,1
"15",9322,"Numerosity",1,"l","Cong","l",1,0.49103,0,1,1,0,22,"small","right",NA,1
"16",9322,"Numerosity",1,"l","Cong","l",1,0.50019,3,5,53,1,23,"small","right",NA,1
"17",9322,"Digit",1,"l","Cong","l",1,0.50253,0,1,1,0,24,"small","right",NA,1
"18",9322,"Digit",1,"a","Cong","a",1,0.532915,1,6,22,1,25,"small","left",NA,1
"19",9322,"Numerosity",1,"l","Cong","l",1,0.534105,4,0,64,0,26,"small","right",NA,1
